dir_name,ckpt_path,config_path,log_path,linear_accuracy
barlow_batch_1024,experiment_checkpoints/batch VS model\barlow_batch_1024\checkpoints-epoch=04-train_loss=1489.13.ckpt,experiment_checkpoints/batch VS model\barlow_batch_1024\config.yaml,experiment_checkpoints/batch VS model\barlow_batch_1024\barlow_batch_1024.csv,0.135932034
barlow_batch_128,experiment_checkpoints/batch VS model\barlow_batch_128\checkpoints-epoch=04-train_loss=1658.09.ckpt,experiment_checkpoints/batch VS model\barlow_batch_128\config.yaml,experiment_checkpoints/batch VS model\barlow_batch_128\barlow_batch_128.csv,0.101449275
barlow_batch_2048,experiment_checkpoints/batch VS model\barlow_batch_2048\checkpoints-epoch=04-train_loss=1527.60.ckpt,experiment_checkpoints/batch VS model\barlow_batch_2048\config.yaml,experiment_checkpoints/batch VS model\barlow_batch_2048\barlow_batch_2048.csv,0.128435782
barlow_batch_256,experiment_checkpoints/batch VS model\barlow_batch_256\checkpoints-epoch=04-train_loss=1471.83.ckpt,experiment_checkpoints/batch VS model\barlow_batch_256\config.yaml,experiment_checkpoints/batch VS model\barlow_batch_256\barlow_batch_256.csv,0.109945027
barlow_batch_32,experiment_checkpoints/batch VS model\barlow_batch_32\checkpoints-epoch=04-train_loss=1519.11.ckpt,experiment_checkpoints/batch VS model\barlow_batch_32\config.yaml,experiment_checkpoints/batch VS model\barlow_batch_32\barlow_batch_32.csv,0.124447776
barlow_batch_512,experiment_checkpoints/batch VS model\barlow_batch_512\checkpoints-epoch=04-train_loss=1475.34.ckpt,experiment_checkpoints/batch VS model\barlow_batch_512\config.yaml,experiment_checkpoints/batch VS model\barlow_batch_512\barlow_batch_512.csv,0.135942029
barlow_batch_64,experiment_checkpoints/batch VS model\barlow_batch_64\checkpoints-epoch=04-train_loss=1343.66.ckpt,experiment_checkpoints/batch VS model\barlow_batch_64\config.yaml,experiment_checkpoints/batch VS model\barlow_batch_64\barlow_batch_64.csv,0.150924538
